"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9346","Verify user should be able to see coach posted discussions in user's cohort","tests.temp.DiscussionForum","2026-09-23","broken","2026-09-23","TestDiscussionForum","test_discuss","",""
"","18818","Verify user can create a new post","tests.temp.DiscussionForum","2026-09-23","passed","2026-09-23","TestDiscussionForum","test_discuss","",""
"","1627","Verify user can react by clicking LIKE button to user's own post","tests.temp.DiscussionForum","2026-09-23","passed","2026-09-23","TestDiscussionForum","test_discuss","",""
"","3062","Verify appropriate messages are displayed when no posts are available under 'My Posts'","tests.temp.DiscussionForum","2026-09-23","passed","2026-09-23","TestDiscussionForum","test_discuss","",""
"","138","Verify user created post is displayed after creation with data such as poster name, posted date, message and description","tests.temp.DiscussionForum","2026-09-23","broken","2026-09-23","TestDiscussionForum","test_discuss","",""
"","3551","Verify appropriate messages are displayed when no posts are available under 'Pinned Posts'","tests.temp.DiscussionForum","2026-09-23","passed","2026-09-23","TestDiscussionForum","test_discuss","",""
"","28077","Verify clicking 'Talk to my team' navigates to create discussion page","tests.temp.DiscussionForum","2026-09-23","passed","2026-09-23","TestDiscussionForum","test_discuss","",""
"","1256","Verify user should be able to add reactions to coach posted discussions in user's cohort","tests.temp.DiscussionForum","2026-09-23","passed","2026-09-23","TestDiscussionForum","test_discuss","",""
"","135","Verify user can edit a post successfully and validate same is retained","tests.temp.DiscussionForum","2026-09-23","broken","2026-09-23","TestDiscussionForum","test_discuss","",""
"","11663","Verify Pinned Posts tab displays pinned posts by coach","tests.temp.DiscussionForum","2026-09-23","passed","2026-09-23","TestDiscussionForum","test_discuss","",""
"","511","Verify when user reacts to user's own post, 'You reacted' message is displayed","tests.temp.DiscussionForum","2026-09-23","passed","2026-09-23","TestDiscussionForum","test_discuss","",""
"","1859","Verify My Posts tab displays user's own posts","tests.temp.DiscussionForum","2026-09-23","passed","2026-09-23","TestDiscussionForum","test_discuss","",""
"","144","Verify user can add a comment to user's own post and validate comment is retained and displayed with timestamp","tests.temp.DiscussionForum","2026-09-23","broken","2026-09-23","TestDiscussionForum","test_discuss","",""
"","446","Verify cohort label shows expected cohort name for the logged in user","tests.temp.DiscussionForum","2026-09-23","passed","2026-09-23","TestDiscussionForum","test_discuss","",""
"","310","Verify user should see 'No reactions yet' to the post when there are no reactions","tests.temp.DiscussionForum","2026-09-23","passed","2026-09-23","TestDiscussionForum","test_discuss","",""
"","9521","Verify coach should be able to add reactions to user posted discussions and same should be observed by a user","tests.temp.DiscussionForum","2026-09-23","passed","2026-09-23","TestDiscussionForum","test_discuss","",""
