"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23489","Verify chef curated can be filtered based on specific tag==Kid-Friendly and validate only those curated recipes published from coach portal for selected Tag should be filtered with expected Name, cal & serving size","tests.temp","2026-07-13","passed","2026-07-13","TestChefCurated","test_curatedRecipes","",""
"","4667","Verify user cannot send empty message such as new line characters","tests.temp","2026-07-13","passed","2026-07-13","TestTalkToMyCoach","test_talk_toCoach","",""
"","11588","Verify user can save BP entry with relevant data","tests.temp.Health","2026-07-13","passed","2026-07-13","TestHealthBloodPressure","test_BP","",""
"","20396","Verify user can use calorie incrementor to edit calorie intake and one click should increment by 50 units","tests.temp.Food","2026-07-13","broken","2026-07-13","TestSetTargets","test_set_targets","",""
"Test login functionality with valid credentials","23144","Verify 'My Meals' nav button is present when clicked through Meal card > Add Food","tests.temp.Food","2026-07-13","passed","2026-07-13","TestMyMeals","test_zmy_meals","",""
"","894","Verify Recent Logs displays data for the filter 'Year' as the added data lies within the year","tests.temp.Health","2026-07-13","passed","2026-07-13","TestHealthBloodPressure","test_BP","",""
"","22556","Verify chef curated recipes can be searched using search bar","tests.temp","2026-07-13","passed","2026-07-13","TestChefCurated","test_curatedRecipes","",""
"","2332","Verify user can view HbA1c entry and validate details","tests.temp.Health","2026-07-13","passed","2026-07-13","TestHealthHbA1c","test_hbA1c","",""
"","2368","Verify set reminder page elements","tests.temp.WaterTracking","2026-07-13","passed","2026-07-13","TestWater","test_water","",""
"","5293","Validate user can log 'search the web' recipe from view page","tests.temp.Food","2026-07-13","passed","2026-07-13","TestSearchTheWeb","test_searchTheWeb","",""
"","1719","Verify My Posts tab displays user's own posts","tests.temp.DiscussionForum","2026-07-13","passed","2026-07-13","TestDiscussionForum","test_discuss","",""
"","20766","Verify user can track water in ml","tests.temp.WaterTracking","2026-07-13","broken","2026-07-13","TestWater","test_water","",""
"","566","Verify user can use calorie decrementor to edit calorie intake and one click should decrement by 50 units","tests.temp.Food","2026-07-13","broken","2026-07-13","TestSetTargets","test_set_targets","",""
"Test that all home screen elements are properly displayed","45447","Verify home screen is loaded correctly with all elements","tests.temp.zHabiRecipes","2026-07-13","passed","2026-07-13","TestRecipes","test_recipes4","",""
"","17725","Verify user can edit a post successfully and validate same is retained","tests.temp.DiscussionForum","2026-07-13","passed","2026-07-13","TestDiscussionForum","test_discuss","",""
"","12039","Verify Pinned Posts tab displays pinned posts by coach","tests.temp.DiscussionForum","2026-07-13","passed","2026-07-13","TestDiscussionForum","test_discuss","",""
"","935","Verify Recent Logs displays data for the filter 'All' irrespective of the range","tests.temp.Health","2026-07-13","passed","2026-07-13","TestHealthExercise","test_exercise","",""
"","2525","Verify user can delete weight and but saying YES, should delete weight","tests.temp.Health","2026-07-13","passed","2026-07-13","TestHealthWeight","test_weight","",""
"Test editing daily water target","4289","Verify Daily Water Target intake can be edited","tests.temp.Food","2026-07-13","broken","2026-07-13","TestSetTargets","test_set_targets","",""
"","2477","Verify user cannot add exercise steps==0 steps, and should see error message==Steps must be greater than or equal to 1","tests.temp.Health","2026-07-13","passed","2026-07-13","TestHealthExercise","test_exercise","",""
"Test login functionality with valid credentials","21616","Verify 'Snap & Log' button is present on Food Dashboard page","tests.temp.Food","2026-07-13","passed","2026-07-13","TestSnap","test_snap","",""
"","116","Verify Recent Logs displays data for the filter 'Year' as the added data lies within the year","tests.temp.Health","2026-07-13","broken","2026-07-13","TestHealthHbA1c","test_hbA1c","",""
"","9862","Verify coach should be able to add reactions to user posted discussions and same should be observed by a user","tests.temp.DiscussionForum","2026-07-13","passed","2026-07-13","TestDiscussionForum","test_discuss","",""
"","1807","Verify 'powered by NutritionIX' is displayed at the bottom for 'ALL' & 'FREQUENT' pages","tests.temp.Food","2026-07-13","passed","2026-07-13","TestGenericFlow","test_generic_foodFlow","",""
"","2562","Verify floating water track option when clicked, navigates to Add Food page","tests.temp.Food","2026-07-13","passed","2026-07-13","TestGenericFlow","test_generic_foodFlow","",""
"","1926","Verify ENTRY_COUNT reflects the correct value after adding second exercise","tests.temp.Health","2026-07-13","passed","2026-07-13","TestHealthExercise","test_exercise","",""
"","28552","Verify user can set target in Milliliter (ml)","tests.temp.WaterTracking","2026-07-13","broken","2026-07-13","TestWater","test_water","",""
"Test saving targets with valid macronutrient percentages","20492","Verify when carb==44%, user can set protein==46% and fat==10% and should be able to save successfully","tests.temp.Food","2026-07-13","broken","2026-07-13","TestSetTargets","test_set_targets","",""
"Test force open content visibility","13451","Given course with 3 handout with force open content is enabled, when user logs into the app, then user should see only 2 handout contents opened in force manner","tests.temp.Learn","2026-07-13","passed","2026-07-13","TestLearn_forcOpenPdf","test_forceOpen","",""
"","4390","Verify user can edit total daily calorie intake ","tests.temp.Food","2026-07-13","broken","2026-07-13","TestSetTargets","test_set_targets","",""
"","11417","Verify user set target for exercise should reflect same in main page","tests.temp.Health","2026-07-13","passed","2026-07-13","TestHealthExercise","test_exercise","",""
"As a new user, I should see a validation error when the city field is not filled","136","test_cityField_isRequired","tests.temp","2026-07-13","broken","2026-07-13","TestGuidedTour","test_reg_banner","",""
"Test Set Targets functionality","105","Verify Set Targets page elements and texts and fields","tests.temp.Food","2026-07-13","broken","2026-07-13","TestSetTargets","test_set_targets","",""
"Test log water functionality","1968","Verify user see log water option on food page","tests.temp.WaterTracking","2026-07-13","passed","2026-07-13","TestWater","test_water","",""
"","12708","Verify user can save HbA1c entry between 4 and 14","tests.temp.Health","2026-07-13","passed","2026-07-13","TestHealthHbA1c","test_hbA1c","",""
"","4992","Verify user cannot add exercise mins more than 1440 mins and should see error message==Minutes must be less than or equal to 1440","tests.temp.Health","2026-07-13","passed","2026-07-13","TestHealthExercise","test_exercise","",""
"","3838","Verify 'Create Meal' page elements","tests.temp.Food","2026-07-13","passed","2026-07-13","TestMyMeals","test_zmy_meals","",""
"Test sending a message in the chat","6259","Verify user can send a message to coach and validate message sent is visible and time stamp is correct with user's Initial displayed","tests.temp","2026-07-13","passed","2026-07-13","TestTalkToMyCoach","test_talk_toCoach","",""
"","20689","Verify chef curated can be filtered based on specific tag==Healthy Dessert and validate only those curated recipes published from coach portal for selected Tag should be filtered with expected Name, cal & serving size","tests.temp","2026-07-13","passed","2026-07-13","TestChefCurated","test_curatedRecipes","",""
"","41731","Verify when nutrient targets/data are updated, the changes are reflected in the Nutrient Details page","tests.temp.Food","2026-07-13","passed","2026-07-13","TestFoodNutrientViewDetails","test_viewDetails","",""
"","5644","Verify favorited 'Search the web' recipe is found in Favorites library","tests.temp.Food","2026-07-13","passed","2026-07-13","TestSearchTheWeb","test_searchTheWeb","",""
"","303","Verify delete button is displayed for the added weight entry","tests.temp.Health","2026-07-13","passed","2026-07-13","TestHealthWeight","test_weight","",""
"","5155","Verify user can edit Blood pressure","tests.temp.Health","2026-07-13","passed","2026-07-13","TestHealthBloodPressure","test_BP","",""
"","18025","As a user, I want to Log Recipe from View Recipe page","tests.temp.zHabiRecipes","2026-07-13","passed","2026-07-13","TestRecipes","test_recipes4","",""
"","391","Verify target weight is displayed correctly","tests.temp.Health","2026-07-13","passed","2026-07-13","TestHealthWeight","test_weight","",""
"Test favoriting a recipe from recently generated list","2060","validate favoriting recently generated recipes","tests.temp.zHabiRecipes","2026-07-13","passed","2026-07-13","TestRecipes","test_recipes1","",""
"As a new user, I should be able to decrement the goal weight using the decrementor","1088","test_goalweightDecrementor","tests.temp","2026-07-13","passed","2026-07-13","TestGuidedTour","test_reg_banner","",""
"","14985","Verify user can save MyMeal with 2 food items","tests.temp.Food","2026-07-13","passed","2026-07-13","TestMyMeals","test_zmy_meals","",""
"","174","Given 1 chapter with 2 contents (both are handouts) are published, user should see only 1 chapter with 2 handouts","tests.temp.Learn","2026-07-13","broken","2026-07-13","TestLearn","test_learn","",""
"","8915","Verify custom foods values are retained properly on edit mode","tests.temp.Food","2026-07-13","failed","2026-07-13","TestGenericFlow","test_generic_foodFlow","",""
